ds,Open,High,Low,Close,y,Volume
12-07-2011,251,251,246.020004,247.975006,223.868378,7360900
13-07-2011,249,252.895004,247.804993,251.970001,227.475006,3720910
14-07-2011,252.550003,256.649994,249.399994,252.975006,228.382278,4677172
15-07-2011,253.225006,255.225006,251.5,254.475006,229.736496,2745076
18-07-2011,255.975006,259.450012,254,257.524994,232.489975,3104948
19-07-2011,258.75,259.5,254.175003,255.425003,230.594131,8526332
20-07-2011,258.200012,258.200012,251,251.550003,227.09584,3704322
21-07-2011,252.399994,252.449997,247.25,248.149994,224.026367,6440512
22-07-2011,250,253.524994,249.425003,250.774994,226.396179,6317060
25-07-2011,250.774994,253.25,248.574997,252.600006,228.043777,6685214
26-07-2011,252.675003,255.100006,247.625,249.074997,224.861435,5290764
27-07-2011,249.675003,251.975006,246,251.024994,226.621857,5531356
28-07-2011,249.75,249.75,242.300003,243.649994,219.963821,10708978
29-07-2011,244.949997,244.949997,240.550003,243.399994,219.738129,5995334
01-08-2011,246.725006,247.975006,242.25,244,220.279816,4404708
02-08-2011,243.949997,243.949997,240,241.425003,217.955139,3964988
03-08-2011,239.350006,244.699997,238,241.024994,217.594009,4165134
04-08-2011,242.050003,244.449997,237.5,238.225006,215.066193,3659212
05-08-2011,232.5,237.899994,228.550003,236.524994,213.531448,6312188
08-08-2011,231.5,240,229.024994,231.050003,208.588715,8616746
09-08-2011,225,236.774994,224.925003,232.225006,209.649521,8981848
10-08-2011,247.399994,247.399994,236.699997,239.949997,216.623505,6534452
11-08-2011,239.350006,242.350006,237.5,239.975006,216.646072,4204608
12-08-2011,242.550003,243,232.050003,234.024994,211.274506,5706776
16-08-2011,239.199997,239.199997,227.324997,228.225006,206.038361,6111296
17-08-2011,228.024994,236.225006,227.949997,233.75,211.02623,6268402
18-08-2011,234.149994,237.425003,229.274994,231.199997,208.724136,11444226
19-08-2011,227.5,231.75,225,230.425003,208.024475,8960518
22-08-2011,230.024994,231.975006,225.350006,226.524994,204.503601,5954498
23-08-2011,228.699997,231.25,222.649994,229.699997,207.369965,8072546
24-08-2011,229,231.199997,226.25,228,205.835205,6371228
25-08-2011,229.699997,229.699997,220.350006,221.824997,200.260513,11600420
26-08-2011,222,225.274994,218.074997,219.475006,198.138977,4261912
29-08-2011,222.25,228.975006,221.574997,228.225006,206.038361,5800198
30-08-2011,230.975006,237.5,229.399994,235.975006,213.034958,7794648
02-09-2011,242,242,234,236.399994,213.41861,7595474
05-09-2011,234.899994,237,231.324997,235.125,212.267578,5900358
06-09-2011,234.300003,238.199997,230,236.399994,213.41861,8930396
07-09-2011,238,244.975006,236.425003,244.050003,220.324921,7373286
08-09-2011,244.850006,244.850006,239.574997,241.850006,218.338791,4082024
09-09-2011,241.949997,242.850006,235.350006,236.625,213.621735,5165708
12-09-2011,233.5,235.600006,231.25,234.675003,211.861343,3492760
13-09-2011,235.5,237.899994,232,233.850006,211.116531,3587976
14-09-2011,233.699997,241.550003,230.524994,239.449997,216.172119,3874504
